id,question,option_a,option_b,option_c,option_d,correct_answer,question_type,question_level,topic,subject_domain,language,model_raw,prediction,is_correct
3adcc97e-0f37-49a5-9601-4336ec26e1a8,“{r]stana{drvalaIivaSaoYaroKaa…..” in sagarbhawastha is called as ____.,Kikkisa,Vaivarna,Pidaka,Pitika,A,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,en,B. Vaivarna. The term Vaivarna refers to the first,B,False
8023f6f5-ca2a-43dd-975f-35dc07837c69,Dashamooladi Ghruta is used in……vyadhi,Kasa vyadhi,Shosh,Pandu,Shwasa,B,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,en,D) Shwasa vyadhi. Dashamooladi Ghr,D,False
56fd56bb-11e5-4b23-9ef1-1707b4c11009,Author of Rasakamadhenu is,Chudamani Mishra,Krishnagopal bhatta,Trimalla Bhatta,Vagbhat,A,MCQ,Easy,Rasashastra,Dravyaguna & Bhaishajya,en,B) Krishnagopal bhatta. Rasakamadhenu,B,False
413b8d55-1a1a-4c0c-8dda-e45c09ec453b,Visarpa developed internally is ---------,Gambhira,Mrudu,Uttana,Daaruna,A,MCQ,Medium,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,B) Mrudu,B,False
63563643-a42c-407d-8f2e-5e92c2251ab9,The fundamental operating principle of medical ultrasound transducers is,Snell’s law,ALARA principle,Piezoelectric effect,Impedance effect,C,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,en,C. Piezoelectric effect. The fundamental operating principle of medical ultrasound,C,True
20636cea-186c-450d-bd06-b347fc39c91a,Best drug of choice in Kasa as per Ashtanga Sangraha is,Kantakari,Kulanjana,Bruhati,Karkatshrungi,D,MCQ,Easy,Dravyaguna Vigyan,Dravyaguna & Bhaishajya,en,C) Bruhati. Bruhati is mentioned as the best drug,C,False
473af37b-2195-46f3-b2ff-467323c399bd,"……………acharya quoted, shukra is devoid of mala",Charaka,Sushrut,Both,Bhavaprakash,C,MCQ,Medium,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),en,"D) Bhavaprakash, shukra is devoid of mala",D,False
90272f1e-d3cb-482a-ba54-abbd683feece,Mutra krushtra' is the lakshana of,Mutrakshaya,Mutravriddhi,Purisha vriddhi,Purisha kshaya,A,MCQ,Easy,Srotas,Samhita & Siddhanta (Fundamentals),en,"A. Mutrakshaya, Varnya krushtra, Mut",A,True
1ebd6bcf-11df-4c8a-8f41-c138664420a7,........ Siddha KwathaBasti can be used as a PittaghnaBasti,Nyagrodhadigana,Aragvadhadigana,Pippalyadigana,Jimutakadigana,C,MCQ,Hard,Panchakarma,Panchakarma & Rasayana,en,"C) Pippalyadigana, Pittaghna, Pittagh",C,True
c95626c5-1b29-4a11-825b-a4f534301032,Aakshi is ...,Indriya,Indriyaarth,Indriya-aadhisthan,Indriyadravya,A,MCQ,Medium,Siddhanta,Samhita & Siddhanta (Fundamentals),en,C) Indriya-aadhisthan. Aakshi is the,C,False
dd867b60-2b6e-4bfd-b306-6df4a955e058,CSME is present in…….,Diabetic retinopathy,Hypertensive retinopathy,Retinopathy of prematurity,None of above,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,A is the correct option. CSME is present in Diabetic retin,A,True
56536858-69cb-45fc-8160-e482f27e59a7,Total duration of ventricular systole is .... Sec,0.8,0.1,0.3,0.08,C,MCQ,Easy,Physiology,Sharir (Anatomy & Physiology),en,A 0.8 Sec. Total duration of ventricular systole is,A,False
a5279834-abe7-4ef6-b477-ac2897e80228,".......... of the following is the content of ""rajapravartini vati"" :",Trikatu,Tankan,Ela,Hingu,D,MCQ,Medium,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,"C - Ela, Hingu, Hingu, Hingu, H",C,False
6d7253f6-30b2-412a-86e1-b27e2dd65a33,In gonadal agenesis the pattern of sex chromosome is ...,XY,XXY,XX,0,D,MCQ,Medium,Forensic Medicine,Agad Tantra & Forensic Medicine,en,A - XY (The pattern of sex chromosome in gonadal agenesis,A,False
56990cab-b235-4585-b519-dbdcb6c6a78c,Kasamarda is included in,Hikkanigrahana Mahakashaya,Kasahara Mahakashaya,Shwashara Mahakashaya,None of Above,D,MCQ,Easy,Dravyaguna Vigyan,Dravyaguna & Bhaishajya,en,"B. Kasahara Mahakashaya, Hikkanigrahana",B,False
efd8fef3-aaa4-4c74-998d-ec2a88016ea5,The Glucagon is:,Accelerates the conversion of glycogen into glucose.,Slows down glucose formation from lactic acid.,Decreases the conversion of glycogen into glucose,Speeds up protein synthesis within cells.,A,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,en,B. Slows down glucose formation from lactic acid. Glucagon,B,False
b685a732-1bb8-40d8-b2ec-c921c46aaba3,In pittaj oshatha prakop ....................................................................................................................................................,rukshatwa,daha/paka,khar,none of above,B,MCQ,Easy,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",en,B) daha/paka,B,True
1b435014-19f8-46bb-890f-9a32baa6645f,In which stage of demographic cycle India has recently entered?,Highly stationary,Early Expanding,Late expanding,Low Stationary,C,MCQ,Medium,Public Health,Swasthavritta & Public Health,en,B. Early Expanding. India is now in the early expanding stage of,B,False
d494885d-4d89-4388-9442-fec286a42947,Superficial cauterization can be done,Under local anesthesia,Without anesthesia,Under general anesthesia,Under spinal anesthesia,B,MCQ,Easy,Gynecology,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,A. Under local anesthesia. Superficial cauterization can be done,A,False
e41bdd06-cb1a-4006-ac68-a2af65174b00,Types of fungi are ... .,Motile and non motile,Arobic and anarobic,Moulds and Yeasts,RNA and DNA,C,MCQ,Easy,Roganidan Evam Vikriti Vigyana,Roga Vigyana (Diagnostics & Pathology),en,C. Moulds and Yeasts. Fungi are divided into two,C,True
e9dc862c-e1b4-464d-83dd-937c85fdee69,Sadya Snehan can be done in ..,Krura koshti Atur,Alpa Dosha Yukta Atur,Uttam Bala Yukta Atur,Vatapradhanta,B,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,en,B. Alpa Dosha Yukta Atur. Sadya Sne,B,True
d4df4a5a-eee5-439a-8cfc-8551ba6dc0cb,"An industrial worker reported to you with complaints of cough, history of dyspnoea on exertion and pain in the chest. His X-ray chest showed snow storm appearance. The diagnosis would be:",Asbestosis,Siderosis,Silicosis,Aspergillosis,C,MCQ,Medium,Public Health,Swasthavritta & Public Health,en,C. Silicosis is a lung disease caused by the inhalation of,C,True
02d2ef4c-2c25-48e5-9bbe-5f6cb30492c9,Fana marma is in ... ...,karna,mukha,nasa,none of above,C,MCQ,Easy,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",en,"B. mukha, or face. Fana marma is in",B,False
58ec0d78-9b96-4e95-ba67-be36db58466e,"According to Sushrut, How many types of Loota Visha are Sadhya and Asadhya?","10 Sadhya, 6 Asadhya","8 Sadhya, 8 Asadhya","12 Sadhya, 4 Asadhya","9 Sadhya, 7 Asadhya",A,MCQ,Medium,Agad Tantra,Agad Tantra & Forensic Medicine,en,"A) 10 Sadhya, 6 Asadhya. According to",A,True
83ed8cf0-f8da-4cde-a3d9-a599477db822,"According to Karmukatwa, there are ........ Sthavar Snehashaya mentioned by Acharya Sushruta.",8,10,12,14,C,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,en,B. 10. The Sthavar Snehashaya mentioned by Ach,B,False
20fd2f57-fed9-4e6a-b9d2-a0b97bf00de1,"In Charak Samhita, Ushna, Snigdha Aahaara as Guna are stated as --- Aahaara Vidhi vidhana",Aahaara Parinaamakara Bhava,Aahara Vidhi Visheshaayatana,A and B,None of above,C,MCQ,Medium,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),en,"C) A and B, Ushna, Snigdha A",C,True
f03205f3-fe83-4efe-afab-d5e9b04dc19d,"The inappropriate response of immune system towards a relatively harmless antigen
causing harm to the host is referred as……",Hypersensitivity,auto-immune diseases,immunodeficiency,Tolerance,A,MCQ,Easy,Ayurvedic Immunology,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,A. Hypersensitivity. Hypersensitivity is an inappropriate response of the,A,True
5aa0fc06-1ef3-4426-8a44-63b47c76733e,In Asthimajja Gata Jwara charaka advocated.......,Langhana,Guduchi Ghrita,Basti,Anandabhairava Rasa,C,MCQ,Hard,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"A. Langhana, as it is a treatment for the disease. Lang",A,False
68f81bbf-46e5-4563-894a-d162f1d1ff71,SPRENGAL DEFORMILITY IS RELATED TO A) FEMUR B) UI NA C) SCAPULA D) ABDOMEN,FEMUR,UI NA,SCAPULA,ABDOMEN,C,MCQ,Easy,Orthopedics,Shalya Tantra (Surgery),en,A) FEMUR,A,False
ebf4d4e0-22d5-46bd-84d7-44f9a4829549,Red cell count is carried out using .....,electrocardiogram,Sphygmomanometer,haemocytometer,Haemoglobinometer,C,MCQ,Easy,Physiology,Sharir (Anatomy & Physiology),en,C) haemocytometer. The haemocytometer is a tool,C,True
bf3ce53c-5bf0-4202-a453-8e627ba89488,Absence of spermatozoa in the s*men is termed as-----.,Nerozoospermia,Aspermia,Azoospermia,Oligospermia,C,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,C. Azoospermia. The absence of spermatozoa,C,True
e13b18dc-9b3f-4d0d-9d0c-9bdbf9a54e11,The following are dhatri's qualities ....................................................................................................,Desha jata,kule jata,Samanavarna,all the above,D,MCQ,Easy,Kaumarbhritya,Kaumarbhritya & Pediatrics,en,D - all the above. Dhatri is the essence of the earth and,D,True
502bade8-4211-4336-99db-c4eb2d097134,Measles vaccine is given at _____________age,1 year,10 months,9 months,2 years,C,MCQ,Easy,Preventive and Social Medicine,Swasthavritta & Public Health,en,B. 10 months. Measles vaccine is given at 10,B,False
ff768e41-34e3-46c1-90f1-b6ba05779bde,Among the following ……….is not Included in Dashavidha Pariksha,Prakriti,Vikriti,Nadi,Sara,C,MCQ,Easy,Ayurvedic Diagnosis,Sharir (Anatomy & Physiology),en,C) Nadi is not included in Dashavidha Pariksha.,C,True
99551b45-fb0a-402c-98d6-a9eec05e6b7b,-----------is the most common site of puerperal infection.,Breast,Uterus,Chest,Brain,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,B. Uterus,B,True
adc5234f-427b-42c0-8e55-ea99a521b412,vaigandhya is……………………………type of stanyadusti,Kaphaja,pithaja,Vataja,none of the above,B,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,en,C) Vataja,C,False
1f899414-6188-432e-8d76-65fee74695dc,Where in the body is erythropoietin produced ….,Spleen,Kidney,Liver,Thyroid,B,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,en,B. Kidney. Erythropoietin is a hormone that,B,True
6849031d-fcb5-4fd7-95a5-623d0a6f5506,Yauvana remains upto 30 years as quoted by,Sushruta,Vagbhat & Sushruta,Kashyapa,Charaka,B,MCQ,Easy,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,C) Kashyapa. Yauvana remains upto 30 years as,C,False
8d3b00f1-e442-4d51-8a25-82d8576052c8,is the cause of second trimester abortion.,Cervical erosion,Cervical polyp,Cervicitis,Cervical incompitance,D,MCQ,Medium,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,D. Cervical incompitance is the cause of second trimest,D,True
9ef9f7c4-158b-4818-bb55-017984270fe1,Rheumatoid arthritis mostly occurs in individuals carrying ......,HLA-DR4 gene (HLA-human leukocyte antigen),HLA-DR1 gene,HLA-DR3 gene,all of the above,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,A. HLA-DR4 gene (HLA-human leukocyte antigen,A,True
9691df28-8e9c-4b41-8128-4b295567db33,HB% of 5 individuals is 9.3 10.6 11.9 12.2 13.5 Range of HB% is The,5.2,6.2,3.2,4.2,D,MCQ,Easy,Medical Statistics,Research & Statistics,en,"B) 6.2, The range of HB% is 6",B,False
1300bf19-f36c-4acb-aff0-5c50c0133f00,Tobacco is……poison.,Corrosive,somniferous,cardiac,spinal,C,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,en,B. somniferous. The Ayurveda concept of tobacco is,B,False
c7e0ff88-5c6f-4ecc-a8d3-e66f1b4e1e9e,Stages of Pertusis are,l,2,4,3,D,MCQ,Easy,Kaumarbhritya,Kaumarbhritya & Pediatrics,en,D) 3 stages of pertussis are present in the body.,D,True
0aa280ce-8b1a-4bc3-b695-8cbd6dddfeff,The sivan karma is contraindicated when wound is caused by A) Kshar B) Agani C) Visha D) All above,Kshar,Agani,Visha,All above,D,MCQ,Medium,Shalya Tantra,Shalya Tantra (Surgery),en,"D) All above, as all the options are contraindications for",D,True
83d27734-7fb5-49cd-aea4-438991179418,According to naturopathy in Unmad is contra indicated,Cold bath,Steam bath,Sitz bath,Spinal cord bath,B,MCQ,Medium,Yoga & Naturopathy,Yoga & Psychology,en,A - Cold bath is contra indicated in Unmad. Other options are not,A,False
6c1bbd2b-c48f-4d92-acf5-43505ca59f3e,Axonotmesis is ... A) Intrathecal rupture of nerve fibres B) Concussion of nerves with physiological paralysis of conduction in intact nerve fibres C) Partial or complete division of nerve sheath or fibres D) Pressure necrosis of nerves,Intrathecal rupture of nerve fibres,Concussion of nerves with physiological paralysis of conduction in intact nerve fibres,Partial or complete division of nerve sheath or fibres,Pressure necrosis of nerves,C,MCQ,Medium,Shalya Tantra,Shalya Tantra (Surgery),en,C) Partial or complete division of nerve sheath or fibres. Ax,C,True
966a3f2b-2538-46d1-a0d2-0042111472e8,Prithvi Mahabhuta contents……as seen in sushruta,Rajoguna,astvatamoguna,tamoguna,Rajhatamoguna,A,MCQ,Medium,Ayurvedic Philosophy,Samhita & Siddhanta (Fundamentals),en,"B) astvatamoguna, tamoguna, rajas,",B,False
edd1cb97-6e2f-41ed-94bf-65077790a8f7,Age for garbhadhanvidhi in female is----.,21yrs,16yrs,18yrs,20yrs,B,MCQ,Easy,Ayurvedic Gynecology and Reproductive Health,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,A. 21yrs. Garbhadhan vidhi is the,A,False
20854ff0-dd2e-499e-aa50-35d09322234c,Osteitis Fibrosa Cystica” is related to………,Hypothyroidism,Hyperthyroidism,Hypoparathyroidism,Hyperparathyroidism,D,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,D. Hyperparathyroidism. Osteitis Fibrosa C,D,True
bf260fcf-f6da-42cf-8a1d-e79a6fe85dde,For interal use the matra (dose) of Navasagar,2 to 8 ratti,1 to 4 ratti,3 to 6 ratti,1 to 2 ratti,A,MCQ,Easy,Rasashastra,Dravyaguna & Bhaishajya,en,B) 1 to 4 ratti,B,False
18353118-ba0b-435f-bfe9-ae2e26a10202,Shaktiveerya vada is contributed by,Dalhan,Chakrapani,Arundatta,Kashyap,B,MCQ,Medium,Dravyaguna Vigyan,Dravyaguna & Bhaishajya,en,"A) Dalhan, along with Kashyap, contributed to Shakt",A,False
8ed080c1-ebb9-4cd7-b206-53e77f01e4cb,As per Sushruta Samhita “ Hridroga” is of ---------------types,5,4,3,11,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,A 5. | Hridroga | 1. Hrid,A,False
7456730d-f864-499b-a256-169af3cb6e9b,Shwitra is classified as------,Daruna,Charuna,Kilasa,All of these,D,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,B. Charuna,B,False
39e122ea-f804-411c-ac96-e6f0d812f8e7,Charmadala vyadhi is not seen in elder children because of -----,Dosha Daurbalyat,"Sthira, Kathina and Samhat Twak and Asthi",Klesha Sahatva,Nitya Vyayama,B,MCQ,Medium,Kaumarbhritya,Kaumarbhritya & Pediatrics,en,"B) Sthira, Kathina and Samhat Twak and Ast",B,True
84ada6dc-4c07-430d-a3df-6dd570239546,D-shaped pupil occurs in:,Iridocyclitis,Cyclodialsis,Iridodenesis,Iridodialysis,D,MCQ,Medium,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",en,B. Cyclodialsis. The D-shaped pupil occurs in cyclod,B,False
acfed268-185c-4158-98de-af84ba1f6987,Foley’s catheter is --------------,Non retaining,Bladder guiding,Self retaining,Dilating bladder,C,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,C) Self retaining,C,True
7c071109-db42-4e56-baea-5b976870affc,According to Sushruta ugama sthana of sira is,Amashaya,Hridaya,Nabhi,Shira,B,MCQ,Easy,Srotas,Samhita & Siddhanta (Fundamentals),en,D) Shira,D,False
1be5d855-a238-4487-b2b7-be6d5b39d901,‘Mahaskandha’ is the lakshan found in ….dhatusarata,Rasa,Rakta,Asthi,Mamsa,C,MCQ,Medium,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),en,"A. Rasa, Rakta, Asthi, Mamsa,",A,False
d038e61e-6605-451f-a40e-ea03f0733076,IN SADHYAPRANAHAR  MARMAGHATA PATIENT DIE WITHIN A) IMMIDIATE B) WITHIN 7 DAYS C) BOTH A AND B D) NONE,IMMIDIATE,WITHIN 7 DAYS,BOTH A AND B,NONE,A,MCQ,Easy,Marma Shastra,Sharir (Anatomy & Physiology),en,"C) BOTH A AND B, as the patient can die immediately or within",C,False
38462a77-76ea-49b5-a109-6bea21fb5915,Mahat is synonym of …….,Aayu,Mana,Aatma,Hardya,D,MCQ,Easy,Sanskrit,Ayurvedic Literature & History,en,D) Hardya,D,True
0fd782d2-f3b4-4d4c-8e10-71885d34bbef,PCV vaccine is given at,6 weeks,10 weeks,14 weeks,All the above,D,MCQ,Easy,Kaumarbhritya,Kaumarbhritya & Pediatrics,en,"A. 6 weeks, B. 10 weeks, C.",A,False
047023ae-98c7-468a-b953-51245d4908d5,Glue sniffer’s rash is seen in,Phosphorus,Lead,Volatile substance,Hydrocarbons,C,MCQ,Medium,Toxicology,Agad Tantra & Forensic Medicine,en,"C. Volatile substance, Glue sniffer’s rash is seen in",C,True
cadef84e-7e13-4928-9ecd-e04926c5b23a,Causes increased load of bilirubin to be metabolized by liver in neonatal unconjugated hyperbilirubinaemia are all except,Increased enterohepatic circulation,Shortened red cell life,Extra hepatic biliary atresia,Polycythemia,C,MCQ,Hard,Kaumarbhritya,Kaumarbhritya & Pediatrics,en,C) Extra hepatic biliary atresia is not a cause of,C,True
32a8bdab-c8ae-4f16-a284-184eb2b59489,The labour becomes more difficult in primigravida over ______ years of age.,20,25,28,30,D,MCQ,Easy,Obstetrics,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,C) 28 years of age. The labour becomes more difficult in prim,C,False
6c95aad9-8023-4bef-a5c8-6f1c281cbc7d,"Pain in bigger joints like Trika , Janu is specialty of ------ disease.",Vatarakata,Vatakanak,Urustambha,Aamavat,D,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"A. Vatarakata. Pain in bigger joints like Trika,",A,False
b8a1f16f-628a-4b75-b31f-da5bdab22500,Which one is both Yantra & Shastra A) Mandalagra B) Eshani C) Karpatra D) Kankamukha,Mandalagra,Eshani,Karpatra,Kankamukha,A,MCQ,Medium,Shalya Tantra,Shalya Tantra (Surgery),en,"A) Mandalagra, Eshani, Karpatra, Kank",A,True
521b0fec-f26c-4c68-8a7f-92f2fc7936cd,Samas highlighting equal importance of Purvapada and Uttarapada is called as -----,Avyayeebhava,Dvandva,Tatpurush,Bahuvreehi,B,MCQ,Easy,Sanskrit,Ayurvedic Literature & History,en,B) Dvandva. Samas highlighting equal importance of Purvap,B,True
0771ae05-d70c-4865-b45d-614ea68b36de,Specific ‘Sthapana Kala’ mentioned in preparation of Lohasava is,1 month,2 months,6 months,15 days,A,MCQ,Medium,Rasa Shastra,Dravyaguna & Bhaishajya,en,B) 2 months. Lohasava is prepared by boiling the,B,False
205f6395-4053-45cd-bc9b-561740a1f0bd,Shankha varna of stanya is mentioned in -----------------,Stanyasampat,Stanyadushti,Stanyavikruti,Stanyavaivarnya,A,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,en,D) Stanyavaivarnya. Shankha varna of st,D,False
71e96a89-78b9-41b5-b4dd-f84be60fe3b9,Ashayas explained in Sushruta Sharir Sthan….. ..Adhyaya.,4th,5th,6th,7th,B,MCQ,Easy,Sharir Kriya,Sharir (Anatomy & Physiology),en,B. 5th. 4th Adhyaya. 1,B,True
0e63094f-5b9c-4b74-bf00-7f3ead300e56,According to Vagbhata How many types of Nasya,2,3,5,4,D,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,en,B) 3 types of Nasya. Nasya is a,B,False
c77daf86-2c14-409a-9213-c13a4a86efdb,Activities of WHO in India are ......,Health statistics,Public health administration,Health laboratory services,All above,D,MCQ,Easy,Public Health,Swasthavritta & Public Health,en,"D. All above. The WHO activities in India are health statistics, public",D,True
2c352fed-f83b-4503-a620-08109a89e423,‘ VIRUDDHANA CH SEVANAT ’ hetu is for which strotodushti ?,Mamsa,Mjja,Asthi,Meda,B,MCQ,Medium,Ayurvedic Physiology and Pathology,Sharir (Anatomy & Physiology),en,"D) Meda, as Viruddhana Ch Sevanat is a",D,False
f9b4ecb7-f140-4e50-b7fe-c5cbb198ba02,Fast breathing in a two years old child is recognised at,> 60 breaths,> 50 breaths,≥ 40 breaths,≥ 30 breaths,C,MCQ,Easy,Public Health,Swasthavritta & Public Health,en,"C) ≥ 40 breaths, fast breathing in a two years old",C,True
0d501dc5-dafd-44b6-8adc-5e259e624ebe,Apamarga Kshara Taila is used in the treatment of,Upadansha,Netrabhishanda,KarnaBadhirya,Dantshoola,C,MCQ,Medium,Rasashastra,Dravyaguna & Bhaishajya,en,"C) KarnaBadhirya, KarnaShoola, Karna",C,True
91ca0ac5-c9f9-4289-959b-43c6c5e174f5,Where UVR is observed?,Epidermis,Dermis,Subcutaneous Tissue,Capillary Loops,A,MCQ,Easy,Modern Therapy,"Administration, AYUSH & Miscellaneous",en,"A. Epidermis, B. Dermis, C. Subcut",A,True
fbc429cb-2fb7-41cd-b4f1-3d7cfceea0af,"According to Kashyapa, Uttana shayan is the symptom of…..",Udarshoola,Atisara,Anaha,Amadosha,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,B) Atisara. Uttana shayan is the symptom of At,B,False
d2fbc5eb-5e00-4eb5-8d8a-babab92cdfa1,Nakulandhya is ........vyadhi according to Acharya Sushruta,Asadhya,Sadhya,Sukhsadhya,Kruchsadhya,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,"B. Sadhya, as it is a condition that can be treated or",B,False
55b4d5b5-95ac-4628-9b3f-bcfe2c0834c1,The incubation period of Chikungunya fever is ------------------------------------------------------------------------------------------------------------------------,4-7 days,5-10 days,10-15 days,2 days,A,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,A. 4-7 days,A,True
2ee2316b-f78b-4c1e-a1c2-27bcf45e2d62,"The process of stimulation of uterine contractions that are already present but found to
be inadequate is known as.----------------",Normal labour,Abnormal labour,Induction of labour,Augmentation of labour,D,MCQ,Easy,Obstetrics and Gynecology in Ayurveda,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),en,D. Augmentation of labour. The process of stimulation of uterine,D,True
e44eb654-36cb-4077-b80c-ac5a9fa1e01c,Vanshamula Rasakriya is used in,Raktabhishyanda,Shukrameha,Grahani,None of above,A,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,en,"B. Shukrameha, as Vanshamula Rasakri",B,False
a6dc3ce3-f599-47a2-b28f-1fab6edfa209,Number of total mukhrogas according to Sushrut Acharya are .............,65,75,62,74,A,MCQ,Easy,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",en,"C) 62, 65, 74, 75,",C,False
031cec2e-b491-410d-9465-dfdcb0125ffe,_____ is a symptom of Ambupurna.,Hikka,Murcha,Hridroga,Agnimandya,C,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),en,B. Murcha is a symptom of Ambupurna. M,B,False
